"Category","CategorySlug","Product","Type","Spec","ImageFile","ImagePath","ImageStatus","SourceFolder","WordPressAssetPath"
"Dermal Fillers","dermal-fillers","DermArcane Implant","","","dermarcane-implant.webp","assets/images/products/dermarcane-implant.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/dermarcane-implant.webp"
"Dermal Fillers","dermal-fillers","DermArcane Shape","","1.1ml x 1Syringe","dermarcane-shape.webp","assets/images/products/dermarcane-shape.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/dermarcane-shape.webp"
"Dermal Fillers","dermal-fillers","ELASTY D Plus","","1ml x 2Syringes","elasty-d-plus.webp","assets/images/products/elasty-d-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elasty-d-plus.webp"
"Dermal Fillers","dermal-fillers","ELASTY F Plus","","1ml x 2Syringes","elasty-f-plus.webp","assets/images/products/elasty-f-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elasty-f-plus.webp"
"Dermal Fillers","dermal-fillers","ELASTY G Plus","","1ml x 2Syringes","elasty-g-plus.webp","assets/images/products/elasty-g-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elasty-g-plus.webp"
"Dermal Fillers","dermal-fillers","Elravie Premier Deep Line-L","","1ml x 1Syringe","elravie-premier-deep-line-l.webp","assets/images/products/elravie-premier-deep-line-l.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elravie-premier-deep-line-l.webp"
"Dermal Fillers","dermal-fillers","Elravie Premier Light-L","","1ml x 1Syringe","elravie-premier-light-l.webp","assets/images/products/elravie-premier-light-l.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elravie-premier-light-l.webp"
"Dermal Fillers","dermal-fillers","Elravie Premier Ultra Volume-L","","1ml x 1Syringe","elravie-premier-ultra-volume-l.webp","assets/images/products/elravie-premier-ultra-volume-l.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/elravie-premier-ultra-volume-l.webp"
"Dermal Fillers","dermal-fillers","EPTQ S100","","","eptq-s100.webp","assets/images/products/eptq-s100.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/eptq-s100.webp"
"Dermal Fillers","dermal-fillers","EPTQ S300","","1ml x 1Syringe","eptq-s300.webp","assets/images/products/eptq-s300.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/eptq-s300.webp"
"Dermal Fillers","dermal-fillers","EPTQ S500","","1ml x 1Syringe","eptq-s500.webp","assets/images/products/eptq-s500.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/eptq-s500.webp"
"Dermal Fillers","dermal-fillers","Juvederm Ultra XC","","1ml x 2Syringes","juvederm-ultra-xc.webp","assets/images/products/juvederm-ultra-xc.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/juvederm-ultra-xc.webp"
"Dermal Fillers","dermal-fillers","Juvederm Volbella","","1ml x 2Syringes","juvederm-volbella.webp","assets/images/products/juvederm-volbella.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/juvederm-volbella.webp"
"Dermal Fillers","dermal-fillers","Juvederm Volift","","1ml x 2Syringes","juvederm-volift.webp","assets/images/products/juvederm-volift.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/juvederm-volift.webp"
"Dermal Fillers","dermal-fillers","Juvederm Voluma","","1ml x 2Syringes","juvederm-voluma.webp","assets/images/products/juvederm-voluma.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/juvederm-voluma.webp"
"Dermal Fillers","dermal-fillers","Juvederm Volux","","1ml x 2Syringes","juvederm-volux.webp","assets/images/products/juvederm-volux.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/juvederm-volux.webp"
"Dermal Fillers","dermal-fillers","Lipssom","","","lipssom.webp","assets/images/products/lipssom.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/lipssom.webp"
"Dermal Fillers","dermal-fillers","Neuramis Deep Lidocaine","","1.1ml x 1Syringe","neuramis-deep-lidocaine.webp","assets/images/products/neuramis-deep-lidocaine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/neuramis-deep-lidocaine.webp"
"Dermal Fillers","dermal-fillers","Neuramis Lidocaine","","1.1ml x 1Syringe","neuramis-lidocaine.webp","assets/images/products/neuramis-lidocaine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/neuramis-lidocaine.webp"
"Dermal Fillers","dermal-fillers","Neuramis Volume Lidocaine","","1.1ml x 1Syringe","neuramis-volume-lidocaine.webp","assets/images/products/neuramis-volume-lidocaine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/neuramis-volume-lidocaine.webp"
"Dermal Fillers","dermal-fillers","REGENOVUE Deep Plus","","1ml x 1Syringe","regenovue-deep-plus.webp","assets/images/products/regenovue-deep-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/regenovue-deep-plus.webp"
"Dermal Fillers","dermal-fillers","REGENOVUE Fine Plus","","1ml x 1Syringe","regenovue-fine-plus.webp","assets/images/products/regenovue-fine-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/regenovue-fine-plus.webp"
"Dermal Fillers","dermal-fillers","REGENOVUE Sub-Q Plus","","1ml x 1Syringe","regenovue-sub-q-plus.webp","assets/images/products/regenovue-sub-q-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/regenovue-sub-q-plus.webp"
"Dermal Fillers","dermal-fillers","Restylan Defyne","","1ml x 1Syringe","restylan-defyne.webp","assets/images/products/restylan-defyne.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-defyne.webp"
"Dermal Fillers","dermal-fillers","Restylan Kysee","","1ml x 1Syringe","restylan-kysee.webp","assets/images/products/restylan-kysee.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-kysee.webp"
"Dermal Fillers","dermal-fillers","Restylan Lidocaine","","1ml x 1Syringe","restylan-lidocaine.webp","assets/images/products/restylan-lidocaine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-lidocaine.webp"
"Dermal Fillers","dermal-fillers","Restylan Lyft Lidocaine","","1ml x 1Syringe","restylan-lyft-lidocaine.webp","assets/images/products/restylan-lyft-lidocaine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-lyft-lidocaine.webp"
"Dermal Fillers","dermal-fillers","Restylan Refyne","","1ml x 1Syringe","restylan-refyne.webp","assets/images/products/restylan-refyne.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-refyne.webp"
"Dermal Fillers","dermal-fillers","Restylan Volyme","","1ml x 1Syringe","restylan-volyme.webp","assets/images/products/restylan-volyme.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/restylan-volyme.webp"
"Dermal Fillers","dermal-fillers","Revolax Deep","","1.1ml x 1Syringe","revolax-deep.webp","assets/images/products/revolax-deep.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/revolax-deep.webp"
"Dermal Fillers","dermal-fillers","Revolax Fine","","1.1ml x 1Syringe","revolax-fine.webp","assets/images/products/revolax-fine.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/revolax-fine.webp"
"Dermal Fillers","dermal-fillers","Revolax Sub-Q","","1.1ml x 1Syringe","revolax-sub-q.webp","assets/images/products/revolax-sub-q.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/revolax-sub-q.webp"
"Dermal Fillers","dermal-fillers","The Chaeum Premium No.1","","1.1ml x 2Syringes","the-chaeum-premium-no-1.webp","assets/images/products/the-chaeum-premium-no-1.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/the-chaeum-premium-no-1.webp"
"Dermal Fillers","dermal-fillers","The Chaeum Premium No.2","","1.1ml x 2Syringes","the-chaeum-premium-no-2.webp","assets/images/products/the-chaeum-premium-no-2.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/the-chaeum-premium-no-2.webp"
"Dermal Fillers","dermal-fillers","The Chaeum Premium No.3","","1.1ml x 2Syringes","the-chaeum-premium-no-3.webp","assets/images/products/the-chaeum-premium-no-3.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/the-chaeum-premium-no-3.webp"
"Dermal Fillers","dermal-fillers","The Chaeum Premium No.4","","1.1ml x 2Syringes","the-chaeum-premium-no-4.webp","assets/images/products/the-chaeum-premium-no-4.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/the-chaeum-premium-no-4.webp"
"Dermal Fillers","dermal-fillers","VOM Intensive","","1ml x 2Syringes","vom-intensive.webp","assets/images/products/vom-intensive.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/vom-intensive.webp"
"Dermal Fillers","dermal-fillers","VOM Light","","1ml x 2Syringes","vom-light.webp","assets/images/products/vom-light.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/vom-light.webp"
"Dermal Fillers","dermal-fillers","VOM Volume","","1ml x 2Syringes","vom-volume.webp","assets/images/products/vom-volume.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/vom-volume.webp"
"Body Fillers","body-fillers","Body Filler Line Coming Soon","","","body-filler-line-coming-soon.webp","assets/images/products/body-filler-line-coming-soon.webp","pending","완성이미지/WebP","wp-theme-starter/assets/images/products/body-filler-line-coming-soon.webp"
"Skin Boosters","skin-boosters","Collapleo","Type I Atelocollagen","1ml x 1Syringe","collapleo.webp","assets/images/products/collapleo.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/collapleo.webp"
"Skin Boosters","skin-boosters","Gouri","PCL","1ml x 1Syringe","gouri.webp","assets/images/products/gouri.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/gouri.webp"
"Skin Boosters","skin-boosters","Gouri Synergy SkinBooster","PCL","2.5ml x 5Vials","gouri-synergy-skinbooster.webp","assets/images/products/gouri-synergy-skinbooster.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/gouri-synergy-skinbooster.webp"
"Skin Boosters","skin-boosters","HAMILREMING HB","PN","1ml x 1Syringe","hamilreming-hb.webp","assets/images/products/hamilreming-hb.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/hamilreming-hb.webp"
"Skin Boosters","skin-boosters","HAMILREMING i","PN","1ml x 1Sytinge","hamilreming-i.webp","assets/images/products/hamilreming-i.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/hamilreming-i.webp"
"Skin Boosters","skin-boosters","HAMILREMING PN","PN","2ml x 2Syringes","hamilreming-pn.webp","assets/images/products/hamilreming-pn.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/hamilreming-pn.webp"
"Skin Boosters","skin-boosters","Hyaron","HA","2.5ml x 10Syringes","hyaron.webp","assets/images/products/hyaron.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/hyaron.webp"
"Skin Boosters","skin-boosters","Kiara Reju","PDRN","2.2ml x 3Syringes","kiara-reju.webp","assets/images/products/kiara-reju.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/kiara-reju.webp"
"Skin Boosters","skin-boosters","PINK DROP","","5ml x 5Vials","pink-drop.webp","assets/images/products/pink-drop.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/pink-drop.webp"
"Skin Boosters","skin-boosters","Rejuran HB Plus","PN","1ml x 1Syringe","rejuran-hb-plus.webp","assets/images/products/rejuran-hb-plus.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuran-hb-plus.webp"
"Skin Boosters","skin-boosters","Rejuran Healer","PN","2ml x 2Syringes","rejuran-healer.webp","assets/images/products/rejuran-healer.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuran-healer.webp"
"Skin Boosters","skin-boosters","Rejuran i","PN","1ml x 1Syringe","rejuran-i.webp","assets/images/products/rejuran-i.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuran-i.webp"
"Skin Boosters","skin-boosters","Rejuran S","PN","1ml x 1Syringe","rejuran-s.webp","assets/images/products/rejuran-s.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuran-s.webp"
"Skin Boosters","skin-boosters","Rejuran Tone-up Booster","","4mL x 3vials & 0.1g x 3vials","rejuran-tone-up-booster.webp","assets/images/products/rejuran-tone-up-booster.webp","ready","완성이미지/WebP","wp-theme-starter/assets/images/products/rejuran-tone-up-booster.webp"
