"Category","Product","Type","Spec"
"Biostimulators","Sculptra","PLLA",""
"Biostimulators","Olidia","PLLA","365mg x 1vial"
"Biostimulators","Radiesse","CaHA",""
"Others","H-Lido Cream","10.56%","500mg"
"Others","Liporase","","10Vials"
"Others","Vitamin C","","20ml x 10Vials"
"Others","Cindella","","5ml x 10Vials"
"Others","Luthione 600mg","","10Vials"
"Others","Luthione 1200mg","","10Vials"
"Others","Laennec","","2ml x 50Vials"
"Others","Melsmon","","2ml x 50Vials"
"Others","Guthion 1200mg","","10Vials"
"Others","Cartin","","5ml x 10Vials"
"Others","L-car","","5ml x 10Vials"
"Others","Vitamo","","2ml x 50Vials"
"Others","GC Arginine 2510","","25ml x 10Vials"
"Others","GC Arginine 1010","","10ml x 10Vials"
"Others","Jeil High B","","10ml x 10Vials"
"Others","DAIHAN Sterile Water","","20ml x 50Amps"
